iter	Passed	Remaining
0	158	158302
1	166	83005
2	180	60023
3	192	47865
4	200	39928
5	215	35737
6	223	31758
7	231	28760
8	246	27109
9	254	25223
10	263	23660
11	275	22677
12	283	21548
13	292	20581
14	300	19718
15	312	19214
16	320	18542
17	328	17929
18	341	17633
19	350	17161
20	358	16703
21	366	16313
22	379	16108
23	387	15738
24	397	15504
25	414	15533
26	425	15320
27	438	15229
28	449	15038
29	459	14852
30	474	14833
31	484	14649
32	494	14484
33	508	14440
34	518	14291
35	527	14135
36	540	14078
37	549	13901
38	557	13727
39	570	13697
40	579	13554
41	587	13409
42	596	13281
43	608	13231
44	619	13154
45	637	13217
46	647	13137
47	662	13139
48	682	13247
49	699	13296
50	713	13275
51	725	13221
52	741	13247
53	752	13175
54	770	13235
55	781	13165
56	790	13082
57	810	13162
58	822	13118
59	845	13238
60	855	13173
61	875	13240
62	884	13154
63	905	13236
64	914	13155
65	928	13134
66	942	13128
67	954	13087
68	973	13129
69	985	13093
70	1003	13124
71	1014	13075
72	1030	13087
73	1042	13048
74	1055	13019
75	1072	13041
76	1084	13004
77	1105	13066
78	1117	13031
79	1134	13045
80	1147	13017
81	1172	13124
82	1185	13095
83	1202	13108
84	1215	13080
85	1233	13106
86	1243	13047
87	1258	13046
88	1273	13037
89	1283	12979
90	1300	12988
91	1309	12928
92	1333	13009
93	1344	12961
94	1365	13011
95	1377	12973
96	1401	13043
97	1411	12992
98	1425	12975
99	1437	12934
100	1445	12863
101	1460	12860
102	1469	12801
103	1477	12731
104	1492	12719
105	1502	12670
106	1514	12636
107	1530	12641
108	1539	12586
109	1550	12545
110	1566	12549
111	1576	12501
112	1597	12540
113	1607	12494
114	1623	12494
115	1633	12447
116	1643	12404
117	1660	12410
118	1671	12373
119	1679	12317
120	1692	12293
121	1700	12237
122	1708	12179
123	1721	12159
124	1729	12105
125	1738	12058
126	1747	12013
127	1758	11977
128	1767	11931
129	1777	11892
130	1791	11881
131	1801	11843
132	1812	11816
133	1824	11791
134	1834	11752
135	1844	11715
136	1857	11701
137	1867	11665
138	1877	11628
139	1890	11613
140	1898	11568
141	1907	11523
142	1919	11503
143	1928	11461
144	1936	11417
145	1949	11401
146	1957	11360
147	1965	11316
148	1973	11272
149	1986	11259
150	1997	11232
151	2006	11195
152	2019	11180
153	2027	11139
154	2035	11097
155	2048	11084
156	2058	11050
157	2069	11028
158	2085	11028
159	2094	10996
160	2102	10958
161	2121	10975
162	2131	10945
163	2152	10970
164	2162	10945
165	2170	10905
166	2188	10918
167	2196	10880
168	2206	10849
169	2220	10843
170	2228	10805
171	2236	10768
172	2250	10758
173	2258	10723
174	2266	10685
175	2280	10677
176	2288	10641
177	2296	10605
178	2306	10578
179	2315	10548
180	2323	10514
181	2332	10481
182	2344	10468
183	2352	10434
184	2361	10401
185	2368	10367
186	2380	10351
187	2389	10320
188	2398	10291
189	2411	10282
190	2420	10250
191	2428	10218
192	2440	10203
193	2448	10171
194	2456	10140
195	2463	10106
196	2476	10092
197	2484	10062
198	2491	10029
199	2501	10006
200	2512	9985
201	2520	9956
202	2528	9927
203	2540	9914
204	2548	9883
205	2557	9857
206	2566	9831
207	2576	9811
208	2584	9780
209	2592	9754
210	2605	9744
211	2613	9716
212	2621	9686
213	2629	9657
214	2640	9641
215	2648	9612
216	2655	9583
217	2665	9562
218	2677	9547
219	2686	9526
220	2700	9517
221	2710	9499
222	2719	9476
223	2730	9458
224	2741	9443
225	2751	9421
226	2760	9400
227	2773	9392
228	2783	9372
229	2793	9350
230	2805	9340
231	2813	9313
232	2821	9289
233	2836	9285
234	2845	9263
235	2857	9252
236	2873	9250
237	2881	9226
238	2891	9206
239	2911	9218
240	2933	9237
241	2942	9217
242	2962	9228
243	2971	9206
244	2990	9217
245	3000	9195
246	3009	9174
247	3023	9167
248	3031	9142
249	3039	9117
250	3053	9111
251	3061	9086
252	3069	9062
253	3080	9047
254	3092	9034
255	3100	9011
256	3108	8987
257	3120	8974
258	3128	8949
259	3136	8926
260	3148	8913
261	3156	8890
262	3163	8866
263	3171	8841
264	3185	8836
265	3193	8813
266	3201	8789
267	3215	8783
268	3224	8763
269	3232	8739
270	3241	8720
271	3254	8710
272	3263	8690
273	3272	8670
274	3286	8663
275	3294	8643
276	3303	8623
277	3318	8617
278	3327	8598
279	3336	8579
280	3351	8575
281	3360	8556
282	3369	8537
283	3381	8526
284	3390	8507
285	3398	8485
286	3412	8477
287	3420	8455
288	3427	8432
289	3435	8411
290	3448	8401
291	3455	8379
292	3463	8358
293	3478	8353
294	3488	8337
295	3499	8321
296	3512	8314
297	3522	8298
298	3533	8283
299	3550	8283
300	3558	8263
301	3566	8243
302	3587	8252
303	3596	8235
304	3621	8252
305	3630	8233
306	3649	8238
307	3657	8217
308	3665	8196
309	3682	8197
310	3693	8183
311	3711	8184
312	3720	8165
313	3729	8147
314	3747	8149
315	3755	8128
316	3763	8107
317	3781	8109
318	3790	8092
319	3802	8079
320	3814	8067
321	3824	8052
322	3841	8051
323	3850	8034
324	3859	8016
325	3873	8008
326	3882	7991
327	3892	7975
328	3907	7968
329	3915	7948
330	3923	7929
331	3932	7911
332	3942	7896
333	3950	7876
334	3958	7857
335	3972	7850
336	3980	7830
337	3988	7812
338	4002	7803
339	4011	7786
340	4020	7770
341	4033	7761
342	4044	7747
343	4054	7732
344	4068	7724
345	4078	7709
346	4087	7692
347	4102	7686
348	4111	7669
349	4120	7652
350	4134	7644
351	4142	7626
352	4150	7607
353	4158	7587
354	4170	7577
355	4178	7558
356	4185	7539
357	4196	7526
358	4205	7509
359	4213	7490
360	4223	7475
361	4232	7460
362	4246	7452
363	4256	7437
364	4266	7421
365	4281	7415
366	4290	7400
367	4300	7385
368	4314	7377
369	4324	7362
370	4334	7348
371	4349	7342
372	4361	7330
373	4378	7328
374	4389	7315
375	4399	7301
376	4412	7292
377	4422	7276
378	4432	7263
379	4446	7254
380	4455	7238
381	4464	7223
382	4479	7216
383	4489	7201
384	4499	7187
385	4513	7178
386	4522	7164
387	4532	7149
388	4545	7139
389	4555	7124
390	4564	7109
391	4577	7099
392	4587	7085
393	4597	7070
394	4610	7062
395	4620	7046
396	4629	7032
397	4643	7024
398	4652	7008
399	4662	6993
400	4675	6983
401	4684	6969
402	4694	6954
403	4708	6946
404	4717	6930
405	4727	6915
406	4741	6908
407	4751	6894
408	4761	6880
409	4775	6871
410	4784	6856
411	4794	6842
412	4808	6834
413	4819	6821
414	4830	6808
415	4842	6798
416	4853	6784
417	4861	6768
418	4873	6757
419	4883	6743
420	4893	6729
421	4906	6720
422	4916	6706
423	4926	6691
424	4940	6684
425	4950	6670
426	4962	6658
427	4975	6649
428	4985	6635
429	4998	6626
430	5006	6610
431	5015	6594
432	5023	6577
433	5035	6566
434	5042	6549
435	5050	6533
436	5058	6516
437	5069	6504
438	5077	6488
439	5085	6472
440	5099	6463
441	5108	6449
442	5118	6436
443	5134	6429
444	5144	6415
445	5153	6401
446	5167	6393
447	5176	6378
448	5185	6363
449	5200	6355
450	5209	6341
451	5217	6326
452	5230	6315
453	5237	6299
454	5245	6282
455	5253	6267
456	5265	6256
457	5273	6241
458	5281	6225
459	5294	6215
460	5302	6199
461	5309	6182
462	5316	6166
463	5329	6157
464	5337	6141
465	5345	6125
466	5354	6111
467	5365	6099
468	5373	6084
469	5381	6068
470	5396	6060
471	5405	6046
472	5414	6033
473	5427	6023
474	5437	6009
475	5446	5995
476	5460	5986
477	5470	5973
478	5479	5960
479	5494	5952
480	5504	5939
481	5512	5924
482	5527	5916
483	5535	5901
484	5543	5886
485	5555	5875
486	5563	5860
487	5572	5846
488	5579	5830
489	5592	5820
490	5599	5805
491	5608	5790
492	5615	5774
493	5627	5764
494	5635	5749
495	5643	5734
496	5656	5724
497	5664	5709
498	5672	5695
499	5682	5682
500	5692	5670
501	5701	5655
502	5708	5640
503	5721	5630
504	5728	5615
505	5736	5600
506	5744	5586
507	5756	5574
508	5764	5560
509	5771	5545
510	5783	5534
511	5794	5522
512	5803	5509
513	5810	5494
514	5822	5483
515	5832	5470
516	5840	5456
517	5853	5446
518	5861	5432
519	5869	5418
520	5877	5403
521	5888	5392
522	5896	5378
523	5904	5363
524	5917	5354
525	5926	5340
526	5934	5326
527	5942	5312
528	5954	5301
529	5962	5287
530	5970	5273
531	5982	5263
532	5990	5248
533	5999	5235
534	6009	5223
535	6021	5212
536	6030	5199
537	6040	5187
538	6053	5177
539	6064	5165
540	6073	5152
541	6086	5143
542	6095	5130
543	6105	5117
544	6118	5108
545	6126	5094
546	6134	5079
547	6146	5069
548	6153	5055
549	6161	5041
550	6169	5027
551	6181	5016
552	6188	5002
553	6196	4988
554	6204	4974
555	6217	4964
556	6226	4952
557	6236	4939
558	6249	4930
559	6258	4917
560	6268	4905
561	6282	4896
562	6291	4883
563	6301	4871
564	6314	4861
565	6324	4849
566	6334	4837
567	6347	4827
568	6358	4816
569	6369	4805
570	6383	4796
571	6391	4782
572	6399	4768
573	6417	4762
574	6425	4749
575	6433	4736
576	6451	4729
577	6459	4716
578	6468	4703
579	6483	4694
580	6491	4681
581	6498	4667
582	6511	4657
583	6519	4644
584	6528	4631
585	6542	4621
586	6550	4608
587	6557	4594
588	6565	4581
589	6577	4570
590	6584	4556
591	6592	4543
592	6605	4533
593	6613	4520
594	6621	4506
595	6628	4493
596	6641	4483
597	6649	4469
598	6657	4456
599	6667	4445
600	6678	4433
601	6687	4421
602	6698	4410
603	6710	4399
604	6720	4388
605	6734	4378
606	6744	4366
607	6753	4353
608	6767	4345
609	6777	4333
610	6788	4321
611	6803	4313
612	6814	4301
613	6824	4290
614	6838	4281
615	6848	4269
616	6858	4257
617	6872	4248
618	6884	4237
619	6897	4227
620	6909	4217
621	6920	4205
622	6940	4199
623	6950	4188
624	6963	4178
625	6975	4167
626	6983	4154
627	6992	4141
628	7004	4131
629	7012	4118
630	7022	4106
631	7035	4096
632	7043	4083
633	7051	4070
634	7064	4060
635	7072	4047
636	7079	4034
637	7087	4021
638	7100	4011
639	7110	3999
640	7120	3987
641	7134	3978
642	7143	3966
643	7153	3954
644	7166	3944
645	7175	3932
646	7185	3920
647	7198	3910
648	7207	3898
649	7217	3886
650	7230	3876
651	7239	3864
652	7247	3851
653	7261	3841
654	7269	3828
655	7277	3816
656	7284	3802
657	7297	3793
658	7305	3780
659	7313	3767
660	7328	3758
661	7341	3748
662	7351	3736
663	7369	3728
664	7379	3717
665	7395	3708
666	7405	3696
667	7414	3684
668	7430	3676
669	7439	3664
670	7448	3652
671	7461	3641
672	7469	3629
